repo_name;url;stars;forks;commits;contributors;open_issues;creation_date;last_push_date;license;language;has_license_file;Validacao_Tecnica;Evidencias;Tipo_Evidencia
CanopyTax/single-spa-canopy;https://github.com/CanopyTax/single-spa-canopy;10;2;115;7;3;2016-05-09T22:54:52+00:00;2025-09-24T06:55:36+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
henrysuarezv/n5-challenge;https://github.com/henrysuarezv/n5-challenge;0;0;16;1;0;2023-12-19T13:28:05+00:00;2023-12-22T17:49:21+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
entando-samples/recipe-single-spa-react-widget-bundle;https://github.com/entando-samples/recipe-single-spa-react-widget-bundle;0;0;17;2;0;2021-02-01T09:33:39+00:00;2021-03-22T14:12:54+00:00;GNU Lesser General Public License v3.0;Shell;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
esthel7/MSA;https://github.com/esthel7/MSA;0;0;10;1;0;2024-11-13T18:00:06+00:00;2024-11-14T13:51:21+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
vitor-kb/postech-fiap;https://github.com/vitor-kb/postech-fiap;1;0;17;1;0;2024-07-23T23:54:10+00:00;2025-04-12T18:49:48+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
maxgherman/webpack-setup;https://github.com/maxgherman/webpack-setup;1;1;227;2;0;2020-03-29T01:28:34+00:00;2025-11-28T11:08:16+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
zxlfly/webpack_share;https://github.com/zxlfly/webpack_share;0;0;58;1;0;2020-10-23T09:33:13+00:00;2023-06-01T00:37:08+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
timothygachengo/microfrontends-study;https://github.com/timothygachengo/microfrontends-study;1;0;13;1;2;2023-06-02T10:23:50+00:00;2023-08-30T08:10:59+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
chaphe/aux-electro;https://github.com/chaphe/aux-electro;0;0;11;2;1;2023-04-21T15:04:10+00:00;2023-05-25T15:06:55+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
kimjong95/module_federation;https://github.com/kimjong95/module_federation;0;0;12;1;0;2024-01-29T12:00:08+00:00;2024-02-19T00:00:24+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
camptocamp/MapStore2;https://github.com/camptocamp/MapStore2;0;2;3810;86;4;2021-04-21T09:48:52+00:00;2025-01-13T10:49:43+00:00;Other;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
BallAerospace/COSMOS;https://github.com/BallAerospace/COSMOS;374;134;4389;47;133;2014-12-17T18:06:25+00:00;2023-05-03T22:27:01+00:00;Other;Ruby;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Sunveerg/Portfolio;https://github.com/Sunveerg/Portfolio;0;0;26;2;0;2025-01-21T19:08:07+00:00;2025-05-20T22:24:32+00:00;;Java;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
gayabarumalamselatan/Digital-signature-module;https://github.com/gayabarumalamselatan/Digital-signature-module;0;0;30;1;0;2024-06-05T07:36:18+00:00;2025-02-05T06:57:52+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
PhucNguyenHoang611/Finder_App;https://github.com/PhucNguyenHoang611/Finder_App;3;0;109;2;0;2024-04-08T10:03:03+00:00;2024-06-17T11:13:02+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
davidchase/module-federation-garden;https://github.com/davidchase/module-federation-garden;0;1;20;2;1;2023-05-04T17:54:20+00:00;2023-09-20T02:41:08+00:00;MIT License;PLpgSQL;True;REJEITAR (Sem Evidência);;Nenhuma
geosolutions-it/mapstore-project;https://github.com/geosolutions-it/mapstore-project;0;9;98;7;6;2020-11-10T15:08:59+00:00;2025-11-26T15:20:05+00:00;Other;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
manucho007/Traversy-Courses;https://github.com/manucho007/Traversy-Courses;3;2;101;2;60;2019-07-13T00:14:51+00:00;2023-01-24T04:26:02+00:00;Apache License 2.0;HTML;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
zurichat/zc_plugin_youtube_music_video;https://github.com/zurichat/zc_plugin_youtube_music_video;17;65;1826;55;86;2021-08-26T18:37:43+00:00;2025-09-03T09:42:41+00:00;MIT License;TypeScript;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
nazna/sandbox;https://github.com/nazna/sandbox;0;0;246;2;0;2023-04-15T13:01:45+00:00;2025-07-20T17:43:08+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
gcp-development/microfrontends;https://github.com/gcp-development/microfrontends;3;0;112;1;0;2022-11-12T17:01:11+00:00;2023-01-30T15:16:07+00:00;MIT License;;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
jonathancalb/code-playground;https://github.com/jonathancalb/code-playground;0;0;18;2;0;2025-10-01T14:37:51+00:00;2025-10-17T17:08:36+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
ipreencekmr/emp-root;https://github.com/ipreencekmr/emp-root;0;0;26;1;0;2023-06-11T11:01:47+00:00;2023-08-15T03:12:49+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
mattias800/mmusic;https://github.com/mattias800/mmusic;1;0;628;2;1;2025-04-20T18:02:29+00:00;2025-10-29T11:05:44+00:00;MIT License;HTML;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
namecheap/ilc-demo-apps;https://github.com/namecheap/ilc-demo-apps;12;7;112;12;64;2020-04-14T10:22:46+00:00;2025-01-10T08:12:56+00:00;Apache License 2.0;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
domini-code/module-federation-react;https://github.com/domini-code/module-federation-react;6;2;17;1;0;2023-01-25T20:22:53+00:00;2023-04-08T17:25:17+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
lrama1/vscode-react-plugin-mui;https://github.com/lrama1/vscode-react-plugin-mui;0;0;45;1;0;2024-12-27T15:20:45+00:00;2025-01-26T13:08:59+00:00;MIT License;TypeScript;True;REJEITAR (Sem Evidência);;Nenhuma
houyaowei/later-single-spa-micro-frontend;https://github.com/houyaowei/later-single-spa-micro-frontend;8;2;13;1;85;2019-09-27T02:02:28+00:00;2023-01-13T22:13:29+00:00;MIT License;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
priyassg/SingleSPA-CSSModule-AssetOptimization;https://github.com/priyassg/SingleSPA-CSSModule-AssetOptimization;0;0;15;2;0;2023-10-28T14:39:34+00:00;2024-05-27T22:36:59+00:00;MIT License;EJS;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
tbysctt/webpack-mfe-demo;https://github.com/tbysctt/webpack-mfe-demo;18;3;51;1;0;2023-06-07T02:03:34+00:00;2024-08-09T09:48:08+00:00;MIT License;TypeScript;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
philals/module-federation-example;https://github.com/philals/module-federation-example;0;0;25;1;0;2022-04-20T02:24:07+00:00;2023-05-17T01:26:17+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
sempejunior/micro-frontend-with-singlespa;https://github.com/sempejunior/micro-frontend-with-singlespa;0;2;12;2;0;2021-05-28T12:50:12+00:00;2021-07-13T18:12:00+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Sapper609/MicroFrontends;https://github.com/Sapper609/MicroFrontends;0;0;10;1;0;2022-04-20T20:36:47+00:00;2022-06-20T22:30:06+00:00;;Hack;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
ZephyrCloudIO/zephyr-examples;https://github.com/ZephyrCloudIO/zephyr-examples;24;67;102;14;7;2023-09-15T15:14:13+00:00;2025-11-28T18:55:38+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
TourmalineCore/auth-ui;https://github.com/TourmalineCore/auth-ui;0;0;183;12;1;2022-10-17T06:44:57+00:00;2025-12-03T03:56:22+00:00;MIT License;TypeScript;True;REJEITAR (Sem Evidência);;Nenhuma
emporix/md-extensions;https://github.com/emporix/md-extensions;0;1;160;7;2;2024-11-12T09:28:50+00:00;2025-12-03T12:58:22+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
silverbirder/playground;https://github.com/silverbirder/playground;0;0;165;1;1;2021-06-11T13:23:33+00:00;2024-03-16T11:41:35+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
utkarshbankar/mf-custom-webpack;https://github.com/utkarshbankar/mf-custom-webpack;0;0;43;1;0;2022-09-11T10:37:22+00:00;2025-03-14T17:33:26+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
AOT-Technologies/forms-flow-ai-micro-front-ends;https://github.com/AOT-Technologies/forms-flow-ai-micro-front-ends;6;31;2732;22;9;2023-01-23T06:08:37+00:00;2025-12-03T13:23:26+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
DemonDis/create-il-app;https://github.com/DemonDis/create-il-app;0;0;91;1;1;2022-12-11T12:36:26+00:00;2023-03-07T07:58:39+00:00;MIT License;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
FEMessage/nuxt-micro-frontend;https://github.com/FEMessage/nuxt-micro-frontend;128;27;23;8;13;2020-02-19T09:39:37+00:00;2021-10-26T14:40:31+00:00;MIT License;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
Sunveerg/Noodle-Star;https://github.com/Sunveerg/Noodle-Star;0;0;469;4;0;2024-11-25T19:13:26+00:00;2025-02-24T20:58:37+00:00;;HTML;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
n9e/fe-v4;https://github.com/n9e/fe-v4;75;34;318;13;8;2020-09-25T12:23:30+00:00;2021-09-09T11:20:05+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Erick-Zanetti/central-app;https://github.com/Erick-Zanetti/central-app;1;2;54;1;0;2022-07-11T20:06:01+00:00;2024-04-04T11:48:01+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
alpha-nero1/KnowledgeBase;https://github.com/alpha-nero1/KnowledgeBase;3;1;193;3;0;2020-12-27T12:31:37+00:00;2025-10-31T23:03:30+00:00;;Jupyter Notebook;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
